Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Overseas ($mill),Overseas%,Profit ($mill),Profit%,Runtime (min),US ($mill),Gross % US
Friday,Brad Bird,action,Tomorrowland,22/05/2015,Buena Vista Studios,202.1,170,202.1,6.7,3.26,111.9,55.4,32.1,18.9,130,90.2,44.6
Friday,Scott Waugh,action,Need for Speed,14/03/2014,Buena Vista Studios,204.2,66,203.3,6.6,2.97,159.7,78.6,137.3,208,132,43.6,21.4
Friday,Patrick Hughes,action,The Expendables 3,15/08/2014,Lionsgate,207.1,100,206.2,6.1,2.93,166.9,80.9,106.2,106.2,126,39.3,19.1
Friday,"Phil Lord, Chris Miller",comedy,21 Jump Street,16/03/2012,Sony,208.8,42,201.6,7.2,3.62,63.1,31.3,159.6,380,109,138.4,68.7
Friday,Roland Emmerich,action,White House Down,28/06/2013,Sony,209.7,150,205.4,8,3.65,132.3,64.4,55.4,36.9,131,73.1,35.6
Friday,David Ayer,action,Fury,17/10/2014,Sony,212.8,80,211.8,5.8,2.85,126,59.5,131.8,164.8,134,85.8,40.5
Thursday,Rob Marshall,adventure,Into the Woods,25/12/2014,Buena Vista Studios,213.9,50,212.9,6,3.16,84.9,39.9,162.9,325.8,125,128,60.1
Friday,Daniel Espinosa,action,Safe House,10/02/2012,Universal,215.5,85,208.1,6.8,3.45,81.7,39.3,123.1,144.8,115,126.4,60.7
Friday,Gary Shore,action,Dracula Untold,10/10/2014,Universal,216.5,70,215.5,6.3,2.92,159.2,73.9,145.5,207.9,92,56.3,26.1
Friday,"Henry Joost, Ariel Schulman",horror,Paranormal Activity 3,21/10/2011,Paramount Pictures,218.8,5,207,5.9,2.9,103,49.8,202,4040,84,104,50.2
Friday,Eric Brevig,animation,Yogi Bear,17/12/2010,WB,219.9,80,201.6,4.5,2.17,101.3,50.3,121.6,152,80,100.2,49.7
Friday,Morten Tyldum,biography,The Imitation Game,28/11/2014,Weinstein Company,221,15,220,8.1,4,128.9,58.6,205,1366.7,114,91.1,41.4
Thursday,Bryan Singer,biography,Valkyrie,25/12/2008,UA Entertainment,221.2,75,200.3,7.1,3.44,117.2,58.5,125.3,167.1,121,83.1,41.5
Friday,Seth Gordon,comedy,Horrible Bosses,8/07/2011,WB/New Line,221.6,37,209.6,6.9,3.37,92.1,43.9,172.6,466.5,98,117.5,56.1
Friday,Ryan Murphy,drama,Eat Pray Love,13/08/2010,Sony,223.1,60,204.6,5.6,2.84,124,60.6,144.6,241,133,80.6,39.4
Friday,Paul Greengrass,drama,Captain Phillips,11/10/2013,Sony,223.4,55,218.8,7.9,3.84,111.7,51,163.8,297.8,134,107.1,49
Friday,Hayao Miyazaki,animation,Ponyo,14/08/2009,Buena Vista Studios,223.7,34,201.8,7.7,3.82,186.7,92.5,167.8,493.5,101,15.1,7.5
Friday,Jaume Collet-Serra,action,Non-Stop,28/02/2014,Universal,223.8,50,222.8,7,3.4,130.6,58.6,172.8,345.6,106,92.2,41.4
Friday,Jonathan Liebesman,action,Battle: Los Angeles,11/03/2011,Sony,223.9,70,211.8,7.6,3.65,128.3,60.6,141.8,202.6,116,83.6,39.4
Friday,Christopher McQuarrie,action,Jack Reacher,21/12/2012,Paramount Pictures,226.1,60,218.3,7,3.46,138.3,63.3,158.3,263.8,130,80.1,36.7
Friday,Dennis Dugan,comedy,Just Go With It,11/02/2011,Sony,227.2,80,214.9,6.4,3.17,111.9,52.1,134.9,168.6,117,103,47.9
Friday,Robert Luketic,comedy,The Ugly Truth,24/07/2009,Sony,227.6,38,205.3,6.5,3.21,116.4,56.7,167.3,440.3,96,88.9,43.3
Friday,Jake Kasdan,comedy,Bad Teacher,24/06/2011,Sony,228.6,19,216.2,5.7,2.96,115.9,53.6,197.2,1037.9,92,100.3,46.4
Wednesday,Tate Taylor,drama,The Help,10/08/2011,Buena Vista Studios,229,25,216.6,8.1,3.93,46.9,21.7,191.6,766.4,146,169.7,78.3
Friday,Todd Phillips,comedy,Due Date,5/11/2010,WB,231,65,211.8,6.6,3.17,111.2,52.5,146.8,225.9,95,100.5,47.5
Friday,Tommy Wirkola,action,Hansel and Gretel: Witch Hunters,25/01/2013,Paramount Pictures,231,50,226.3,6.1,2.9,170.6,75.4,176.3,352.6,88,55.7,24.6
Friday,Adam Shankman,musical,Hairspray (2007),20/07/2007,New Line Cinema,232.3,75,202.5,6.8,3.44,83.7,41.3,127.5,170,117,118.9,58.7
Friday,Martin Campbell,action,Green Lantern,17/06/2011,WB,232.5,200,219.9,5.7,2.87,103.3,47,19.9,10,114,116.6,53
Wednesday,Baz Luhrmann,adventure,Australia,26/11/2008,Fox,233.4,78,211.3,7.6,3.5,161.8,76.6,133.3,170.9,165,49.6,23.4
Friday,Neill Blomkamp,sci-fi,District 9,14/08/2009,TriStar,233.7,30,210.8,8,3.87,95.2,45.1,180.8,602.7,112,115.6,54.9
Friday,Paul Feig,action,The Heat,28/06/2013,Fox,234.7,43,229.9,6.6,4.07,70.3,30.6,186.9,434.7,117,159.6,69.4
Wednesday,Jon Turteltaub,action,The Sorcerer's Apprentice,14/07/2010,Buena Vista Studios,234.8,160,215.3,7.1,3.48,152.1,70.7,55.3,34.6,109,63.2,29.3
Thursday,Adam Shankman,comedy,Bedtime Stories,25/12/2008,Buena Vista Studios,235.2,80,212.9,6.1,3.12,102.8,48.3,132.9,166.1,99,110.1,51.7
Friday,Garry Marshall,comedy,Valentine's Day,12/02/2010,WB,236.1,52,216.5,5.8,3,106,49,164.5,316.4,125,110.5,51
Wednesday,Michael Mann,biography,Public Enemies,1/07/2009,Universal,237.3,102.5,214.1,7,3.36,117,54.6,111.6,108.9,140,97.1,45.4
Friday,Brian Grant,crime,Immortals,11/11/2011,Relativity Media,239.9,75,226.9,6.1,2.93,143.4,63.2,151.9,202.5,98,83.5,36.8
Friday,Ben Affleck,drama,Argo,12/10/2012,WB,240.6,44.5,232.3,7.8,3.9,96.3,41.5,187.8,422,120,136,58.5
Friday,Michel Gondry,action,The Green Hornet,14/01/2011,Sony,240.8,110,227.8,5.9,2.97,129,56.6,117.8,107.1,119,98.8,43.4
Friday,Peyton Reed,comedy,The Break-Up,2/06/2006,Universal,241.8,52,205,5.8,2.94,86.3,42.1,153,294.2,106,118.7,57.9
Friday,Nancy Meyers,comedy,The Holiday,8/12/2006,Sony,241.9,85,205.1,6.9,3.53,141.9,69.2,120.1,141.3,138,63.2,30.8
Friday,Tom Vaughan,comedy,What Happens in Vegas,9/05/2008,Fox,242.3,35,219.4,7.3,3.51,139.1,63.4,184.4,526.9,99,80.3,36.6
Friday,Nancy Meyers,comedy,It's Complicated,25/12/2009,Universal,242.9,75,219.1,6.6,2.5,106.4,48.5,144.1,192.1,120,112.7,51.5
Friday,"Hayden Schlossberg, Jon Hurwitz",comedy,American Reunion,6/04/2012,Universal,243.4,50,235,6.8,3.17,178,75.7,185,370,113,57,24.3
Wednesday,Jose Padilha,sci-fi,RoboCop,12/02/2014,Sony,243.8,120,242.7,7.1,3.34,184.1,75.9,122.7,102.3,117,58.6,24.1
Friday,Klay Hall,animation,Planes,9/08/2013,Buena Vista Studios,244.3,50,239.3,5.7,2.86,149,62.3,189.3,378.6,91,90.3,37.7
Friday,Brett Ratner,action,Hercules (2015),25/07/2014,Paramount Pictures,244.5,100,243.4,6.1,3.33,170.7,70.1,143.4,143.4,98,72.7,29.9
Friday,David O. Russell,romance,Silver Linings Playbook,16/11/2012,Weinstein Company,244.9,21,236.4,7.8,3.86,104.3,44.1,215.4,1025.7,122,132.1,55.9
Friday,David Fincher,biography,The Social Network,1/10/2010,Sony,245.3,40,224.9,7.8,3.67,128,56.9,184.9,462.3,120,97,43.1
Thursday,Doug Liman,action,Jumper,14/02/2008,Fox,245.4,82.5,222.2,6.1,2.98,142.1,63.9,139.7,169.3,88,80.2,36.1
Tuesday,David Fincher,crime,The Girl with the Dragon Tattoo (2011),20/12/2011,Sony,245.9,90,232.6,7.9,3.87,130.1,55.9,142.6,158.4,158,102.5,44.1
Wednesday,Dean Parisot,comedy,Fun with Dick and Jane,21/12/2005,Sony,246,140,202,6.1,3,91.7,45.4,62,44.3,90,110.3,54.6
Friday,Peyton Reed,comedy,Yes Man,19/12/2008,WB,246.5,50,223.2,6.9,3.46,125.6,56.2,173.2,346.4,104,97.7,43.8
Friday,Chris Columbus,fantasy,Percy Jackson & The Olympians: The Lightning Thief,12/02/2010,Fox,247,95,226.5,5.9,3.01,137.7,60.8,131.5,138.4,118,88.8,39.2
Friday,Paul W.S. Anderson,action,Resident Evil: Retribution,14/09/2012,Screen Gems,248.8,65,240.2,5.3,3,197.8,82.4,175.2,269.5,96,42.3,17.6
Friday,M. Night Shyamalan,action,After Earth,31/05/2013,Sony,248.9,130,243.8,4.9,2.43,183.3,75.2,113.8,87.5,100,60.5,24.8
Friday,Judd Apatow,comedy,Knocked Up,1/06/2007,Universal,251.3,27.5,219.1,7.1,3.59,70.3,32.1,191.6,696.7,129,148.8,67.9
Friday,Pierre Morel,action,Taken,30/01/2009,Fox,251.4,25,226.8,7.9,3.85,81.8,36.1,201.8,807.2,93,145,63.9
Friday,Dennis Dugan,comedy,Grown Ups 2,12/07/2013,Sony,252.1,80,247,5.4,2.34,113.3,45.9,167,208.8,101,133.7,54.1
Friday,Peter Hewitt,comedy,Garfield: The Movie,11/06/2004,Fox,252.8,50,200.8,4.9,2.27,125.4,62.5,150.8,301.6,80,75.4,37.5
Friday,Tim Burton,comedy,Dark Shadows,11/05/2012,WB,254.3,150,245.5,6.2,3.03,165.8,67.5,95.5,63.7,113,79.7,32.5
Friday,Peter Segal,action,Get Smart,20/06/2008,WB,254.8,80,230.7,6.5,3.27,100.4,43.5,150.7,188.4,110,130.3,56.5
Wednesday,Antoine Fuqua,action,King Arthur,7/07/2004,Buena Vista Studios,256.3,90,203.6,6.3,3.05,151.7,74.5,113.6,126.2,126,51.9,25.5
Friday,David O. Russell,drama,American Hustle,13/12/2013,Sony,256.4,40,251.2,6.3,2.81,101.1,40.2,211.2,528,138,150.1,59.8
Friday,John R. Leonetti,horror,Annabelle,3/10/2014,WB/New Line,256.5,6.5,255.3,5.4,2.41,171,67,248.8,3827.7,99,84.3,33
Friday,Scott Derrickson,drama,The Day the Earth Stood Still (2008),12/12/2008,Fox,257.5,80,233.1,5.5,2.81,153.7,66,153.1,191.4,104,79.4,34
Friday,Ridley Scott,action,Kingdom of Heaven,6/05/2005,Fox,257.8,110,211.7,7.2,3.47,164.3,77.6,101.7,92.5,145,47.4,22.4
Saturday,Rob Letterman,adventure,Gulliver's Travels,25/12/2010,Fox,258.9,112,237.4,4.9,2.53,194.6,82,125.4,112,85,42.8,18
Friday,Paul King,comedy,Paddington,16/01/2015,StudioCanal,259.5,55,259.5,7.3,2.89,183.3,70.6,204.5,371.8,95,76.2,29.4
Friday,Gore Verbinski,animation,Rango,4/03/2011,Paramount Pictures,259.8,135,245.7,7.3,3.51,122.2,49.7,110.7,82,107,123.5,50.3
Friday,Mark Steven Johnson,action,Ghost Rider,16/02/2007,Sony,262.4,120,228.7,5.2,2.19,112.9,49.4,108.7,90.6,114,115.8,50.6
Friday,Brad Silberling,adventure,Lemony Snicket's A Series of Unfortunate Events,17/12/2004,Paramount Pictures,263.2,100,209.1,6.8,3.37,90.4,43.3,109.1,109.1,108,118.6,56.7
Friday,Steve Bendelack,comedy,Mr. Bean's Holiday,24/08/2007,Universal,263.5,25,229.7,6.3,2.84,196.4,85.5,204.7,818.8,90,33.3,14.5
Wednesday,Jason Reitman,comedy,Juno,5/12/2007,Fox Searchlight Pictures,265.5,7,231.4,6.3,2.97,87.9,38,224.4,3205.7,96,143.5,62
Tuesday,Gore Verbinski,action,The Lone Ranger,2/07/2013,Buena Vista Studios,265.9,225,260.5,6.5,3.03,171.2,65.7,35.5,15.8,149,89.3,34.3
Friday,Pete Docter,animation,Inside Out,19/06/2015,Buena Vista Studios,266.6,175,266.6,8.8,4.15,81.5,30.6,91.6,52.3,102,185.1,69.4
Friday,Eric Brevig,action,Journey to the Center of the Earth,11/07/2008,WB/New Line,267.3,45,242,5.8,2.87,140.3,58,197,437.8,93,101.7,42
Thursday,David Frankel,comedy,Marley and Me,25/12/2008,Fox,268.1,60,242.7,6.2,2.96,99.6,41,182.7,304.5,115,143.2,59
Friday,Clark Johnson,action,S.W.A.T.,8/08/2003,Sony,268.4,70,207.7,6,3.01,90.8,43.7,137.7,196.7,117,116.9,56.3
Friday,Martin Scorsese,biography,The Aviator,17/12/2004,MiraMax,269,110,213.7,7.5,3.61,111.1,52,103.7,94.3,170,102.6,48
Friday,Ridley Scott,action,Exodus: Gods and Kings,12/12/2014,Fox,269.2,140,268,6.1,2.66,203,75.7,128,91.4,150,65,24.3
Friday,"Phil Lord, Chris Miller",animation,Cloudy with a Chance of Meatballs,18/09/2009,Sony,269.4,100,243,7,3.49,118.1,48.6,143,143,90,124.9,51.4
Friday,Nicholas Stoller,comedy,Neighbors,9/05/2014,Universal,269.4,18,268.2,6.4,3.09,118,44,250.2,1390,97,150.2,56
Wednesday,Lawrence Guterman,action,Cats & Dogs,4/07/2001,WB,269.5,60,200.7,5.2,2.7,107.3,53.5,140.7,234.5,87,93.4,46.5
Wednesday,Dany Boon,drama,Bienvenue chez les Ch'tis,20/02/2008,Path_ Distribution,270.7,15.3,245.1,7.1,3.75,245.1,100,229.8,1502,106,0,0
Friday,Robert Schwentke,action,Flightplan,23/09/2005,Buena Vista Studios,272,55,223.4,6.2,3.08,133.7,59.8,168.4,306.2,98,89.7,40.2
Wednesday,Clint Eastwood,drama,Million Dollar Baby,15/12/2004,WB,272.9,30,216.8,8.1,3.87,116.3,53.6,186.8,622.7,132,100.5,46.4
Friday,Cameron Crowe,mystery,Vanilla Sky,14/12/2001,Paramount Pictures,273.1,70,203.4,6.9,3.36,102.8,50.5,133.4,190.6,136,100.6,49.5
Friday,Peter Weir,action,Master and Commander: The Far Side of the World,14/11/2003,Fox,274,135,212,7.4,3.64,118.1,55.7,77,57,138,93.9,44.3
Friday,Chris Wedge,animation,Epic,24/05/2013,Fox,274,100,268.4,6.7,1.49,160.9,59.9,168.4,168.4,102,107.5,40.1
Friday,Rob Minkoff,animation,Mr. Peabody & Sherman,7/03/2014,Fox,274.1,145,272.9,6.9,3.4,161.4,59.1,127.9,88.2,92,111.5,40.9
Friday,Michael Mann,crime,Collateral,6/08/2004,DreamWorks,274.2,60,217.8,7.6,3.7,116.8,53.6,157.8,263,120,101,46.4
Thursday,J. J. Abrams,thriller,Super 8,9/06/2011,Paramount Pictures,275,50,260.1,7.1,3.53,133.1,51.2,210.1,420.2,112,127,48.8
Wednesday,"Ethan Coen, Joel Coen",adventure,True Grit,22/12/2010,Paramount Pictures,275.2,35,252.3,7.7,3.87,81,32.1,217.3,620.9,110,171.2,67.9
Wednesday,Rawson Marshall Thurber,comedy,We're the Millers,7/08/2013,WB,275.6,37,270,7.1,3.43,119.6,44.3,233,629.7,110,150.4,55.7
Friday,Steven Spielberg,drama,The Terminal,18/06/2004,DreamWorks,276.2,75,219.4,6.1,3.18,141.5,64.5,144.4,192.5,128,77.9,35.5
Friday,Brett Ratner,crime,Red Dragon,4/10/2002,Universal,276.5,78,209.2,7.2,3.57,116,55.5,131.2,168.2,124,93.1,44.5
Friday,Elizabeth Banks,comedy,Pitch Perfect 2,15/05/2015,Universal,276.9,29,276.9,6.9,3.3,95.9,34.6,247.9,854.8,115,181.1,65.4
Friday,Rob Cohen,action,The Fast and the Furious,22/06/2001,Universal,278.4,38,207.3,6.7,3.16,62.8,30.3,169.3,445.5,106,144.5,69.7
Friday,Kenny Ortega,comedy,High School Musical 3: Senior Year,24/10/2008,Buena Vista Studios,279.3,11,252.9,4.3,2.33,162.3,64.2,241.9,2199.1,112,90.6,35.8
Wednesday,Michael Moore,documentary,Fahrenheit 9/11,23/06/2004,Lionsgate Films,280,6,222.4,7.5,3.57,103.3,46.4,216.4,3606.7,122,119.2,53.6
Friday,"Cody Cameron, Kris Pearn",animation,Cloudy with a Chance of Meatballs 2,27/09/2013,Sony,280,78,274.3,6.5,3.21,154.5,56.3,196.3,251.7,95,119.8,43.7
Friday,Frank Coraci,comedy,Click,23/06/2006,Revolution Studios,280.4,82.5,237.7,6.4,3.11,100.3,42.2,155.2,188.1,107,137.4,57.8
Friday,Francis Lawrence,fantasy,Constantine,18/02/2005,WB,281.2,100,230.9,7.6,3.35,154.9,67.1,130.9,130.9,121,76,32.9
Friday,Alejandro Amenˆbar,horror,The Others,10/08/2001,MiraMax,281.8,17,209.9,7.6,3.71,113.4,54,192.9,1134.7,101,96.5,46
Friday,Doug Liman,action,The Bourne Identity,14/06/2002,Universal,282.9,60,214,7.9,3.9,92.4,43.2,154,256.7,119,121.7,56.8
Friday,Jon Favreau,comedy,Elf,7/11/2003,New Line Cinema,284.8,32,220.4,6.9,3.41,47,21.3,188.4,588.8,97,173.4,78.7
Friday,Steven Spielberg,biography,Lincoln,9/11/2012,Buena Vista Studios,285.1,65,275.3,7.4,3.74,93.1,33.8,210.3,323.5,150,182.2,66.2
Friday,David Zucker,comedy,Scary Movie 3,24/10/2003,Dimension Films,285.2,45,220.7,5.4,2.46,110.7,50.2,175.7,390.4,84,110,49.8
Wednesday,James Mangold,action,Knight & Day,23/06/2010,Fox,285.6,117,261.9,6.3,3.27,185.5,70.8,144.9,123.9,109,76.4,29.2
Friday,Tony Gilroy,action,The Bourne Legacy,10/08/2012,Universal,286,125,276.1,6.7,3.49,162.9,59,151.1,120.9,135,113.2,41
Friday,Hayao Miyazaki,animation,Howl's Moving Castle,10/06/2005,Buena Vista Studios,286.4,24,235.2,8.2,4.07,230.5,98,211.2,880,119,4.7,2
Wednesday,Steven Soderbergh,crime,Traffic,27/12/2000,USA,286.6,48,207.5,7.7,3.82,83.4,40.2,159.5,332.3,147,124.1,59.8
Wednesday,David Soren,animation,Turbo,17/07/2013,Fox,288.5,135,282.6,6.5,2.94,199.5,70.6,147.6,109.3,96,83,29.4
Wednesday,Kenny Ortega,documentary,Michael Jackson's This Is It,28/10/2009,Sony,289.5,60,261.2,7.6,3.37,189.1,72.4,201.2,335.3,111,72.1,27.6
Friday,Neil Burger,adventure,Divergent,21/03/2014,Lionsgate/Summit,290,85,288.7,6.8,3.41,137.8,47.7,203.7,239.7,139,150.9,52.3
Friday,Walt Becker,action,Wild Hogs,2/03/2007,Buena Vista Studios,290.9,60,253.6,5.9,2.79,85.4,33.7,193.6,322.7,100,168.3,66.3
Friday,Neill Blomkamp,action,Elysium,9/08/2013,TriStar,292.1,120,286.1,6.7,3.29,193.1,67.5,166.1,138.4,109,93.1,32.5
Friday,Joseph Kosinski,action,Oblivion,19/04/2013,Universal,292.2,120,286.2,7,3.5,197.1,68.9,166.2,138.5,124,89.1,31.1
Friday,Donald Petrie,comedy,Miss Congeniality,22/12/2000,WB,293.7,45,212.7,6.1,3.04,105.9,49.8,167.7,372.7,109,106.8,50.2
Friday,Tim Burton,fantasy,Sleepy Hollow,19/11/1999,Paramount Pictures,294.2,70,206.1,7.6,3.55,105,51,136.1,194.4,105,101.1,49
Friday,Stefen Fangmeier,action,Eragon,15/12/2006,Fox,294.3,100,249.5,5.1,2.63,174.5,69.9,149.5,149.5,104,75,30.1
Friday,Andrew Stanton,sci-fi,John Carter,9/03/2012,Buena Vista Studios,294.3,263.7,284.1,6.6,3.27,211.1,74.3,20.4,7.7,132,73.1,25.7
Friday,Ang Lee,action,"Crouching Tiger, Hidden Dragon",8/12/2000,Sony Picture Classics,294.8,15,213.5,7.9,3.9,85.4,40,198.5,1323.3,120,128.1,60
Friday,Tom Shadyac,comedy,Patch Adams,25/12/1998,Universal,295.1,90,202.3,6.6,3.15,67.3,33.3,112.3,124.8,115,135,66.7
Friday,Robert Schwentke,action,The Divergent Series: Insurgent,20/03/2015,Lionsgate/Summit,295.1,110,295.1,6.9,3.17,165.1,55.9,185.1,168.3,119,130,44.1
Friday,Brett Ratner,action,Rush Hour 3,10/08/2007,New Line Cinema,296,180,258,6.2,2.97,117.9,45.7,78,43.3,91,140.1,54.3
Wednesday,"Ron Clements, John Musker",animation,The Princess and the Frog,25/11/2009,Buena Vista Studios,296,105,267,7.2,3.59,162.6,60.9,162,154.3,97,104.4,39.1
Friday,Dennis Dugan,comedy,Grown Ups,25/06/2010,Sony,296,75,271.4,6,2.81,109.4,40.3,196.4,261.9,102,162,59.7
Wednesday,Roland Emmerich,action,The Patriot,28/06/2000,Sony,297.3,110,215.3,6.1,3.22,102,47.4,105.3,95.7,165,113.3,52.6
Friday,Martin Campbell,action,Vertical Limit,8/12/2000,Sony,297.9,75,215.7,5.8,2.85,146.4,67.9,140.7,187.6,124,69.2,32.1
Friday,Roland Emmerich,action,"10,000 B.C.",7/03/2008,WB,298,105,269.8,5,2.53,175,64.9,164.8,157,109,94.8,35.1
Friday,Clint Eastwood,drama,Gran Torino,12/12/2008,WB,298.2,33,270,8.2,3.99,121.9,45.1,237,718.2,116,148.1,54.9
Friday,Jesse Dylan,comedy,American Wedding,1/08/2003,Universal,299.1,55,231.4,7.6,3.85,126.9,54.8,176.4,320.7,96,104.6,45.2
Friday,Sylvester Stallone,action,The Expendables,13/08/2010,Lionsgate,299.4,82,274.5,6.5,3.01,171.4,62.4,192.5,234.8,103,103.1,37.6
Wednesday,Peter Hyams,action,End of Days,24/11/1999,Universal,302.6,100,212,5.7,2.68,145.1,68.4,112,112,121,66.9,31.6
Friday,Jon Amiel,crime,Entrapment,30/04/1999,Fox,303.2,66,212.4,6.2,3.16,124.7,58.7,146.4,221.8,113,87.7,41.3
Friday,Florian Henckel von Donnersmarck,action,The Tourist,10/12/2010,Sony,303.5,100,278.3,6,3.08,210.7,75.7,178.3,178.3,103,67.6,24.3
Friday,Paul Feig,comedy,Bridesmaids,13/05/2011,Universal,304.9,32.5,288.4,6.8,3.53,119.3,41.4,255.9,787.4,125,169.1,58.6
Friday,John Singleton,action,2 Fast 2 Furious,6/06/2003,Universal,305.5,76,236.4,5.8,2.5,109.2,46.2,160.4,211.1,107,127.2,53.8
Friday,Ridley Scott,drama,American Gangster,2/11/2007,Universal,305.7,100,266.5,7.8,3.83,136.3,51.2,166.5,166.5,157,130.2,48.8
Friday,Zack Snyder,action,Superman,14/06/2013,WB,306.4,55,300.2,7.3,3.38,166,55.3,245.2,445.8,143,134.2,44.7
Friday,Larry Charles,comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,3/11/2006,Fox,308.6,18,261.6,7.3,3.5,133.1,50.9,243.6,1353.3,84,128.5,49.1
Friday,Josh Boone,drama,The Fault in our Stars,6/06/2014,Fox,308.6,12,307.2,7.9,3.58,182.4,59.4,295.2,2460,126,124.9,40.6
Wednesday,"Peter Lord, Nick Park",animation,Chicken Run,21/06/2000,DreamWorks,310.4,42,224.8,7.1,3.58,118,52.5,182.8,435.2,84,106.8,47.5
Thursday,John Moore,action,A Good Day to Die Hard,14/02/2013,Fox,311,92,304.7,5.3,2.59,237.3,77.9,212.7,231.2,98,67.3,22.1
Friday,"Paul Tibbitt, Mike Mitchell",animation,The SpongeBob Movie: Sponge Out of Water,6/02/2015,Paramount Pictures,311.6,74,311.6,6.2,2.25,148.6,47.7,237.6,321.1,92,163,52.3
Friday,Peter Berg,action,Battleship,18/05/2012,Universal,313.8,209,303,5.9,2.83,237.6,78.4,94,45,131,65.4,21.6
Thursday,Michael Patrick King,comedy,Sex and the City 2,27/05/2010,WB/New Line,314.4,95,288.3,4.2,2.32,193,66.9,193.3,203.5,146,95.3,33.1
Friday,Jonathan Liebesman,action,Wrath of the Titans,30/03/2012,WB,316.2,150,305.3,5.8,2.78,221.6,72.6,155.3,103.5,99,83.7,27.4
Friday,Simon West,action,The Expendables 2,17/08/2012,Lionsgate,316.3,100,305.4,6.7,3.08,220.4,72.2,205.4,205.4,103,85,27.8
Friday,Shawn Levy,action,Real Steel,7/10/2011,Buena Vista Studios,316.4,110,299.3,6.3,3.28,213.8,71.4,189.3,172.1,127,85.5,28.6
Friday,Steven Spielberg,adventure,A.I. Artificial Intelligence,29/06/2001,WB,316.8,90,235.9,7.1,3.21,157.3,66.7,145.9,162.1,146,78.6,33.3
Wednesday,Barry Sonnenfeld,action,Wild Wild West,30/06/1999,WB,317,175,222.1,4.8,2.31,108.3,48.8,47.1,26.9,106,113.8,51.2
Friday,Ang Lee,action,Hulk,20/06/2003,Universal,317.2,137,245.4,5.7,2.69,113.2,46.1,108.4,79.1,138,132.2,53.9
Friday,"Chris Wedge, Carlos Saldanha",animation,Robots,11/03/2005,Fox,317.4,80,260.7,6.3,3.28,132.5,50.8,180.7,225.9,91,128.2,49.2
Wednesday,Peter Ramsey,animation,Rise of the Guardians,21/11/2012,Pacific Data/DreamWorks,317.9,145,306.9,7.3,3.6,203.5,66.3,161.9,111.7,97,103.4,33.7
